"ID" "title" "wiki links" "imdbLinks"
"Baby_Driver" "Baby Driver" "https://en.wikipedia.org/wiki/Baby_Driver" "https://www.imdb.com/title/tt3890160/"
"Okja" "Okja" "https://en.wikipedia.org/wiki/Okja" "https://www.imdb.com/title/tt3967856/"
"Despicable_Me_3" "Despicable Me 3" "https://en.wikipedia.org/wiki/Despicable_Me_3" "https://www.imdb.com/title/tt3469046/"
"The_House_(2017_film)" "The House" "https://en.wikipedia.org/wiki/The_House_(2017_film)" "https://www.imdb.com/title/tt4481514/"
"The_Little_Hours" "The Little Hours" "https://en.wikipedia.org/wiki/The_Little_Hours" "https://www.imdb.com/title/tt5666304/"
"Inconceivable_(2017_film)" "Inconceivable" "https://en.wikipedia.org/wiki/Inconceivable_(2017_film)" "https://www.imdb.com/title/tt3481634/"
"2:22_(2017_film)" "2:22" "https://en.wikipedia.org/wiki/2:22_(2017_film)" "https://www.imdb.com/title/tt1131724/"
"A_Ghost_Story" "A Ghost Story" "https://en.wikipedia.org/wiki/A_Ghost_Story" "https://www.imdb.com/title/tt6265828/"
"Spider-Man:_Homecoming" "Spider-Man: Homecoming" "https://en.wikipedia.org/wiki/Spider-Man:_Homecoming" "https://www.imdb.com/title/tt2250912/"
"War_for_the_Planet_of_the_Apes" "War for the Planet of the Apes" "https://en.wikipedia.org/wiki/War_for_the_Planet_of_the_Apes" "https://www.imdb.com/title/tt3450958/"
"Wish_Upon" "Wish Upon" "https://en.wikipedia.org/wiki/Wish_Upon" "https://www.imdb.com/title/tt5322012/"
"Dunkirk_(2017_film)" "Dunkirk" "https://en.wikipedia.org/wiki/Dunkirk_(2017_film)" "https://www.imdb.com/title/tt5013056/"
"Valerian_and_the_City_of_a_Thousand_Planets" "Valerian and the City of a Thousand Planets" "https://en.wikipedia.org/wiki/Valerian_and_the_City_of_a_Thousand_Planets" "https://www.imdb.com/title/tt2239822/"
"Girls_Trip" "Girls Trip" "https://en.wikipedia.org/wiki/Girls_Trip" "https://www.imdb.com/title/tt3564472/"
"First_Kill_(2017_film)" "First Kill" "https://en.wikipedia.org/wiki/First_Kill_(2017_film)" "https://www.imdb.com/title/tt5884234/"
"Atomic_Blonde" "Atomic Blonde" "https://en.wikipedia.org/wiki/Atomic_Blonde" "https://www.imdb.com/title/tt2406566/"
"The_Emoji_Movie" "The Emoji Movie" "https://en.wikipedia.org/wiki/The_Emoji_Movie" "https://www.imdb.com/title/tt4877122/"
"An_Inconvenient_Sequel:_Truth_to_Power" "An Inconvenient Sequel: Truth to Power" "https://en.wikipedia.org/wiki/An_Inconvenient_Sequel:_Truth_to_Power" "https://www.imdb.com/title/tt6322922/"
"Detroit_(film)" "Detroit" "https://en.wikipedia.org/wiki/Detroit_(film)" "https://www.imdb.com/title/tt5390504/"
"Brigsby_Bear" "Brigsby Bear" "https://en.wikipedia.org/wiki/Brigsby_Bear" "https://www.imdb.com/title/tt5805752/"
"Menashe_(film)" "Menashe" "https://en.wikipedia.org/wiki/Menashe_(film)" "https://www.imdb.com/title/tt6333086/"
"The_Dark_Tower_(2017_film)" "The Dark Tower" "https://en.wikipedia.org/wiki/The_Dark_Tower_(2017_film)" "https://www.imdb.com/title/tt1648190/"
"Kidnap_(2017_film)" "Kidnap" "https://en.wikipedia.org/wiki/Kidnap_(2017_film)" "https://www.imdb.com/title/tt1458169/"
"Step_(film)" "Step" "https://en.wikipedia.org/wiki/Step_(film)" "https://www.imdb.com/title/tt5758404/"
"Wind_River_(film)" "Wind River" "https://en.wikipedia.org/wiki/Wind_River_(film)" "https://www.imdb.com/title/tt5362988/"
"Armed_Response_(2017_film)" "Armed Response" "https://en.wikipedia.org/wiki/Armed_Response_(2017_film)" "https://www.imdb.com/title/tt4557208/"
"Annabelle:_Creation" "Annabelle: Creation" "https://en.wikipedia.org/wiki/Annabelle:_Creation" "https://www.imdb.com/title/tt5140878/"
"The_Glass_Castle_(film)" "The Glass Castle" "https://en.wikipedia.org/wiki/The_Glass_Castle_(film)" "https://www.imdb.com/title/tt2378507/"
"The_Nut_Job_2:_Nutty_by_Nature" "The Nut Job 2: Nutty by Nature" "https://en.wikipedia.org/wiki/The_Nut_Job_2:_Nutty_by_Nature" "https://www.imdb.com/title/tt3486626/"
"Good_Time_(film)" "Good Time" "https://en.wikipedia.org/wiki/Good_Time_(film)" "https://www.imdb.com/title/tt4846232/"
"Ingrid_Goes_West" "Ingrid Goes West" "https://en.wikipedia.org/wiki/Ingrid_Goes_West" "https://www.imdb.com/title/tt5962210/"
"The_Only_Living_Boy_in_New_York_(film)" "The Only Living Boy in New York" "https://en.wikipedia.org/wiki/The_Only_Living_Boy_in_New_York_(film)" "https://www.imdb.com/title/tt0460890/"
"The_Hitman%27s_Bodyguard" "The Hitman's Bodyguard" "https://en.wikipedia.org/wiki/The_Hitman%27s_Bodyguard" "https://www.imdb.com/title/tt1959563/"
"Logan_Lucky" "Logan Lucky" "https://en.wikipedia.org/wiki/Logan_Lucky" "https://www.imdb.com/title/tt5439796/"
"Patti_Cake$" "Patti Cake$" "https://en.wikipedia.org/wiki/Patti_Cake$" "https://www.imdb.com/title/tt6288250/"
"All_Saints_(film)" "All Saints" "https://en.wikipedia.org/wiki/All_Saints_(film)" "https://www.imdb.com/title/tt4663548/"
"Beach_Rats" "Beach Rats" "https://en.wikipedia.org/wiki/Beach_Rats" "https://www.imdb.com/title/tt6303866/"
"Tulip_Fever" "Tulip Fever" "https://en.wikipedia.org/wiki/Tulip_Fever" "https://www.imdb.com/title/tt0491203/"
"Unlocked_(2017_film)" "Unlocked" "https://en.wikipedia.org/wiki/Unlocked_(2017_film)" "https://www.imdb.com/title/tt1734493/"
"It_(2017_film)" "It" "https://en.wikipedia.org/wiki/It_(2017_film)" "https://www.imdb.com/title/tt1396484/"
"Home_Again_(2017_film)" "Home Again" "https://en.wikipedia.org/wiki/Home_Again_(2017_film)" "https://www.imdb.com/title/tt5719700/"
"9/11_(2017_film)" "9/11" "https://en.wikipedia.org/wiki/9/11_(2017_film)" "https://www.imdb.com/title/tt4917224/"
"The_Good_Catholic" "The Good Catholic" "https://en.wikipedia.org/wiki/The_Good_Catholic" "https://www.imdb.com/title/tt4721404/"
"Gun_Shy_(2017_film)" "Gun Shy" "https://en.wikipedia.org/wiki/Gun_Shy_(2017_film)" "https://www.imdb.com/title/tt3910736/"
"American_Assassin" "American Assassin" "https://en.wikipedia.org/wiki/American_Assassin" "https://www.imdb.com/title/tt1961175/"
"Mother!" "Mother!" "https://en.wikipedia.org/wiki/Mother!" "https://www.imdb.com/title/tt5109784/"
"Brad%27s_Status" "Brad's Status" "https://en.wikipedia.org/wiki/Brad%27s_Status" "https://www.imdb.com/title/tt5884230/"
"Kingsman:_The_Golden_Circle" "Kingsman: The Golden Circle" "https://en.wikipedia.org/wiki/Kingsman:_The_Golden_Circle" "https://www.imdb.com/title/tt4649466/"
"The_Lego_Ninjago_Movie" "The Lego Ninjago Movie" "https://en.wikipedia.org/wiki/The_Lego_Ninjago_Movie" "https://www.imdb.com/title/tt3014284/"
"Stronger_(film)" "Stronger" "https://en.wikipedia.org/wiki/Stronger_(film)" "https://www.imdb.com/title/tt3881784/"
"Battle_of_the_Sexes_(2017_film)" "Battle of the Sexes" "https://en.wikipedia.org/wiki/Battle_of_the_Sexes_(2017_film)" "https://www.imdb.com/title/tt4622512/"
"Woodshock" "Woodshock" "https://en.wikipedia.org/wiki/Woodshock" "https://www.imdb.com/title/tt4677924/"
"Victoria_%26_Abdul" "Victoria & Abdul" "https://en.wikipedia.org/wiki/Victoria_%26_Abdul" "https://www.imdb.com/title/tt5816682/"
